Probabilities:
Number: 1, Probability: 4.428900063357943e-06, Refund 119.997, Cost 0.0005314547209027632
Number: 3679, Probability: 4.30413339858049e-05, Refund 108.963, Cost 0.0046899128750952585
Number: 3680, Probability: 4.3066916693978996e-05, Refund 108.96, Cost 0.004692571242975951
Number: 3681, Probability: 4.309251404599479e-05, Refund 108.957, Cost 0.004695231052909454
Number: 3682, Probability: 4.311812604740339e-05, Refund 108.954, Cost 0.004697892305368789
Number: 3683, Probability: 4.314375271485815e-05, Refund 108.951, Cost 0.00470055500203651
Number: 3684, Probability: 4.316939404280795e-05, Refund 108.948, Cost 0.00470321914217584
Number: 3685, Probability: 4.3195050047906136e-05, Refund 108.945, Cost 0.004705884727469134
Number: 3686, Probability: 4.3220720730152706e-05, Refund 108.942, Cost 0.0047085517577842954
Number: 3687, Probability: 4.324640611175212e-05, Refund 108.939, Cost 0.004711220235408164
Number: 3688, Probability: 4.327210618715327e-05, Refund 108.936, Cost 0.004713890159603729
Number: 3689, Probability: 4.329782096745838e-05, Refund 108.933, Cost 0.0047165615314481435
Number: 3690, Probability: 4.332355046932079e-05, Refund 108.93, Cost 0.004719234352623114
Number: 3691, Probability: 4.3349294692740514e-05, Refund 108.927, Cost 0.004721908622996146
Number: 3692, Probability: 4.337505364326866e-05, Refund 108.924, Cost 0.004724584343039396
Number: 3693, Probability: 4.340082733755857e-05, Refund 108.921, Cost 0.004727261514434217
Number: 3694, Probability: 4.3426615775610244e-05, Refund 108.918, Cost 0.004729940137047917
Number: 3695, Probability: 4.3452418974077034e-05, Refund 108.915, Cost 0.0047326202125616
Number: 3696, Probability: 4.3478236932958936e-05, Refund 108.912, Cost 0.004735301740842424
Number: 3697, Probability: 4.350406966335818e-05, Refund 108.909, Cost 0.004737984722966677
Number: 3698, Probability: 4.352991717082588e-05, Refund 108.906, Cost 0.0047406691594059636
Number: 3699, Probability: 4.355577947201539e-05, Refund 108.903, Cost 0.004743355051840892
Number: 3700, Probability: 4.3581656566926696e-05, Refund 108.9, Cost 0.004746042400138317
Number: 3701, Probability: 4.360754846111092e-05, Refund 108.897, Cost 0.004748731204769596
Number: 3702, Probability: 4.363345517677253e-05, Refund 108.894, Cost 0.004751421468019468
Number: 3703, Probability: 4.36593767083604e-05, Refund 108.891, Cost 0.004754113189150072
Number: 3704, Probability: 4.368531306697676e-05, Refund 108.888, Cost 0.004756806369236965
Number: 3705, Probability: 4.371126426372385e-05, Refund 108.885, Cost 0.004759501009355571
Number: 3706, Probability: 4.3737230304152774e-05, Refund 108.882, Cost 0.004762197109976762
Number: 3707, Probability: 4.376321119936577e-05, Refund 108.879, Cost 0.004764894672175746
Number: 3708, Probability: 4.378920695491395e-05, Refund 108.876, Cost 0.004767593696423211
Number: 3709, Probability: 4.381521757634843e-05, Refund 108.873, Cost 0.004770294183189783
Number: 3710, Probability: 4.3841243080322556e-05, Refund 108.87, Cost 0.004772996134154717
Number: 3711, Probability: 4.3867283466836327e-05, Refund 108.867, Cost 0.00477569954918407
Number: 3712, Probability: 4.389333874699197e-05, Refund 108.864, Cost 0.004778404429352534
Number: 3713, Probability: 4.3919408931891724e-05, Refund 108.861, Cost 0.004781110775734665
Number: 3714, Probability: 4.394549402153558e-05, Refund 108.858, Cost 0.00478381858819632
Number: 3715, Probability: 4.397159403257689e-05, Refund 108.855, Cost 0.004786527868416157
Number: 3716, Probability: 4.399770897056676e-05, Refund 108.852, Cost 0.004789238616864133
Number: 3717, Probability: 4.402383884105632e-05, Refund 108.849, Cost 0.004791950834010139
Number: 3718, Probability: 4.40499836606989e-05, Refund 108.846, Cost 0.004794664521532432
Number: 3719, Probability: 4.407614342394339e-05, Refund 108.843, Cost 0.004797379678692271
Number: 3720, Probability: 4.410231814744314e-05, Refund 108.84, Cost 0.004800096307167712
Number: 3721, Probability: 4.412850784230038e-05, Refund 108.837, Cost 0.004802814408032446
Number: 3722, Probability: 4.4154712508515104e-05, Refund 108.834, Cost 0.004805533981151733
Number: 3723, Probability: 4.418093216274066e-05, Refund 108.831, Cost 0.004808255028203229
Number: 3724, Probability: 4.420716680497705e-05, Refund 108.828, Cost 0.004810977549052043
Number: 3725, Probability: 4.42334164463265e-05, Refund 108.825, Cost 0.0048137015447714815
Number: 3726, Probability: 4.4259681097891246e-05, Refund 108.822, Cost 0.0048164270164347215
Number: 3727, Probability: 4.42859607652224e-05, Refund 108.819, Cost 0.0048191539645107365
Number: 3728, Probability: 4.431225545942219e-05, Refund 108.816, Cost 0.004821882390072485
Number: 3729, Probability: 4.4338565186041734e-05, Refund 108.813, Cost 0.004824612293588759
Number: 3730, Probability: 4.436488995618326e-05, Refund 108.81, Cost 0.004827343676132301
Number: 3731, Probability: 4.4391229769846774e-05, Refund 108.807, Cost 0.004830076537567718
Number: 3732, Probability: 4.441758464923673e-05, Refund 108.804, Cost 0.004832810880175553
Number: 3733, Probability: 4.4443954588802015e-05, Refund 108.801, Cost 0.004835546703216248
Number: 3734, Probability: 4.4470339605195974e-05, Refund 108.798, Cost 0.004838284008366112
Number: 3735, Probability: 4.449673970396972e-05, Refund 108.795, Cost 0.004841022796093386
Number: 3736, Probability: 4.452315489067438e-05, Refund 108.792, Cost 0.004843763066866247
Number: 3737, Probability: 4.454958518196328e-05, Refund 108.789, Cost 0.004846504822360603
Number: 3738, Probability: 4.4576030577836434e-05, Refund 108.786, Cost 0.004849248062440514
Number: 3739, Probability: 4.460249108384495e-05, Refund 108.783, Cost 0.004851992787573906
Number: 3740, Probability: 4.46289667221933e-05, Refund 108.78, Cost 0.004854739000040187
Number: 3741, Probability: 4.465545748733035e-05, Refund 108.777, Cost 0.004857486699099333
Number: 3742, Probability: 4.468196339590946e-05, Refund 108.774, Cost 0.004860235886426656
Number: 3743, Probability: 4.4708484453481745e-05, Refund 108.771, Cost 0.004862986562489663
Number: 3744, Probability: 4.473502066559831e-05, Refund 108.768, Cost 0.004865738727755797
Number: 3745, Probability: 4.476157204891251e-05, Refund 108.765, Cost 0.004868492383899969
Number: 3746, Probability: 4.478813859787323e-05, Refund 108.762, Cost 0.004871247530181888
Number: 3747, Probability: 4.481472033468492e-05, Refund 108.759, Cost 0.004874004168879997
Number: 3748, Probability: 4.484131725934759e-05, Refund 108.756, Cost 0.004876762299857606
Number: 3749, Probability: 4.486792938296347e-05, Refund 108.753, Cost 0.004879521924185426
Number: 3750, Probability: 4.489455671663478e-05, Refund 108.75, Cost 0.0048822830429340325
Number: 3751, Probability: 4.492119926036153e-05, Refund 108.747, Cost 0.004885045655966536
Number: 3752, Probability: 4.494785703079707e-05, Refund 108.744, Cost 0.004887809764956996
Number: 3753, Probability: 4.49745300334925e-05, Refund 108.741, Cost 0.004890575370372008
Number: 3754, Probability: 4.5001218273998944e-05, Refund 108.738, Cost 0.004893342472678097
Number: 3755, Probability: 4.502792176896975e-05, Refund 108.735, Cost 0.0048961110735489255
Number: 3756, Probability: 4.5054640512853794e-05, Refund 108.732, Cost 0.004898881172243619
Number: 3757, Probability: 4.5081374527855544e-05, Refund 108.729, Cost 0.004901652771039206
Number: 3758, Probability: 4.5108123813975e-05, Refund 108.726, Cost 0.004904425869798246
Number: 3759, Probability: 4.51348883878655e-05, Refund 108.723, Cost 0.004907200470193901
Number: 3760, Probability: 4.516166824397594e-05, Refund 108.72, Cost 0.004909976571485064
Number: 3761, Probability: 4.518846340451077e-05, Refund 108.717, Cost 0.004912754175948197
Number: 3762, Probability: 4.5215273869469996e-05, Refund 108.714, Cost 0.004915533283445561
Number: 3763, Probability: 4.524209964995585e-05, Refund 108.711, Cost 0.00491831389504635
Number: 3764, Probability: 4.526894075707055e-05, Refund 108.708, Cost 0.004921096011819626
Number: 3765, Probability: 4.529579719636523e-05, Refund 108.705, Cost 0.004923879634230882
Number: 3766, Probability: 4.532266897339099e-05, Refund 108.702, Cost 0.004926664762745547
Number: 3767, Probability: 4.534955610480118e-05, Refund 108.699, Cost 0.004929451399035783
Number: 3768, Probability: 4.53764585905958e-05, Refund 108.696, Cost 0.004932239542963401
Number: 3769, Probability: 4.5403376441877086e-05, Refund 108.693, Cost 0.004935029195596946
Number: 3770, Probability: 4.5430309664196145e-05, Refund 108.69, Cost 0.004937820357401479
Number: 3771, Probability: 4.5457258274206325e-05, Refund 108.687, Cost 0.004940613030048662
Number: 3772, Probability: 4.548422227745874e-05, Refund 108.684, Cost 0.004943407214003326
Number: 3773, Probability: 4.5511201673953394e-05, Refund 108.681, Cost 0.0049462029091269285
Number: 3774, Probability: 4.5538196485894744e-05, Refund 108.678, Cost 0.004949000117694069
Number: 3775, Probability: 4.5565206707731676e-05, Refund 108.675, Cost 0.00495179883896274
Number: 3776, Probability: 4.5592232356117535e-05, Refund 108.672, Cost 0.004954599074604005
Number: 3777, Probability: 4.561927344215455e-05, Refund 108.669, Cost 0.004957400825685493
Number: 3778, Probability: 4.5646329965842725e-05, Refund 108.666, Cost 0.0049602040920682655
Number: 3779, Probability: 4.56734019438354e-05, Refund 108.663, Cost 0.004963008875422986
Number: 3780, Probability: 4.570048937613258e-05, Refund 108.66, Cost 0.004965815175610566
Number: 3781, Probability: 4.572759227938761e-05, Refund 108.657, Cost 0.004968622994301419
Number: 3782, Probability: 4.575471065360048e-05, Refund 108.654, Cost 0.0049714323313563066
Number: 3783, Probability: 4.578184451542455e-05, Refund 108.651, Cost 0.004974243188445393
Number: 3784, Probability: 4.580899387041093e-05, Refund 108.648, Cost 0.004977055566032407
Number: 3785, Probability: 4.583615872411073e-05, Refund 108.645, Cost 0.00497986946458101
Number: 3786, Probability: 4.586333908762619e-05, Refund 108.642, Cost 0.004982684885157884
Number: 3787, Probability: 4.589053497205953e-05, Refund 108.639, Cost 0.004985501828829575
Number: 3788, Probability: 4.5917746382961866e-05, Refund 108.636, Cost 0.004988320296059445
Number: 3789, Probability: 4.594497332588432e-05, Refund 108.633, Cost 0.004991140287310791
Number: 3790, Probability: 4.597221581192912e-05, Refund 108.63, Cost 0.00499396180364986
Number: 3791, Probability: 4.599947385219849e-05, Refund 108.627, Cost 0.004996784846142765
Number: 3792, Probability: 4.6026747452243555e-05, Refund 108.624, Cost 0.004999609415252504
Number: 3793, Probability: 4.605403662316654e-05, Refund 108.621, Cost 0.005002435512044973
Number: 3794, Probability: 4.608134137051856e-05, Refund 108.618, Cost 0.005005263136982984
Number: 3795, Probability: 4.610866170540184e-05, Refund 108.615, Cost 0.005008092291132221
Number: 3796, Probability: 4.613599763336751e-05, Refund 108.612, Cost 0.005010922974955312
Number: 3797, Probability: 4.6163349165517786e-05, Refund 108.609, Cost 0.005013755189517721
Number: 3798, Probability: 4.619071630740379e-05, Refund 108.606, Cost 0.005016588935281896
Number: 3799, Probability: 4.621809907012775e-05, Refund 108.603, Cost 0.005019424213313084
Number: 3800, Probability: 4.6245497464791896e-05, Refund 108.6, Cost 0.0050222610246764
Number: 3801, Probability: 4.6272911496947344e-05, Refund 108.597, Cost 0.005025099369833991
Number: 3802, Probability: 4.630034117214521e-05, Refund 108.594, Cost 0.005027939249247937
Number: 3803, Probability: 4.632778650148772e-05, Refund 108.591, Cost 0.005030780663983053
Number: 3804, Probability: 4.635524749607711e-05, Refund 108.588, Cost 0.005033623615104021
Number: 3805, Probability: 4.6382724161464495e-05, Refund 108.585, Cost 0.005036468103072622
Number: 3806, Probability: 4.6410216503200985e-05, Refund 108.582, Cost 0.005039314128350569
Number: 3807, Probability: 4.643772453793993e-05, Refund 108.579, Cost 0.005042161692604979
Number: 3808, Probability: 4.646524827123244e-05, Refund 108.576, Cost 0.005045010796297333
Number: 3809, Probability: 4.6492787708629635e-05, Refund 108.573, Cost 0.005047861439889045
Number: 3810, Probability: 4.652034286123374e-05, Refund 108.57, Cost 0.0050507136244441475
Number: 3811, Probability: 4.654791373459588e-05, Refund 108.567, Cost 0.005053567350423871
Number: 3812, Probability: 4.6575500339818277e-05, Refund 108.564, Cost 0.005056422618892031
Number: 3813, Probability: 4.660310268800316e-05, Refund 108.561, Cost 0.005059279430912312
Number: 3814, Probability: 4.663072078470165e-05, Refund 108.558, Cost 0.005062137786945642
Number: 3815, Probability: 4.6658354641015976e-05, Refund 108.555, Cost 0.005064997688055489
Number: 3816, Probability: 4.6686004256946134e-05, Refund 108.552, Cost 0.005067859134100017
Number: 3817, Probability: 4.671366965469659e-05, Refund 108.549, Cost 0.00507072212734766
Number: 3818, Probability: 4.674135083426734e-05, Refund 108.546, Cost 0.005073586667656383
Number: 3819, Probability: 4.6769047801209496e-05, Refund 108.543, Cost 0.005076452755486682
Number: 3820, Probability: 4.679676057217641e-05, Refund 108.54, Cost 0.0050793203925040276
Number: 3821, Probability: 4.6824489152719195e-05, Refund 108.537, Cost 0.0050821895791686835
Number: 3822, Probability: 4.685223355394008e-05, Refund 108.534, Cost 0.005085060316543333
Number: 3823, Probability: 4.687999377583907e-05, Refund 108.531, Cost 0.00508793260448559
Number: 3824, Probability: 4.69077698350695e-05, Refund 108.528, Cost 0.005090806444660423
Number: 3825, Probability: 4.693556174273361e-05, Refund 108.525, Cost 0.005093681838130165
Number: 3826, Probability: 4.69633694988314e-05, Refund 108.522, Cost 0.005096558784752181
Number: 3827, Probability: 4.699119311446509e-05, Refund 108.519, Cost 0.005099437285588637
Number: 3828, Probability: 4.701903260073692e-05, Refund 108.516, Cost 0.0051023173417015675
Number: 3829, Probability: 4.704688796874912e-05, Refund 108.513, Cost 0.005105198954152873
Number: 3830, Probability: 4.70747592240528e-05, Refund 108.51, Cost 0.005108082123401969
Number: 3831, Probability: 4.7102646372199075e-05, Refund 108.507, Cost 0.005110966849908205
Number: 3832, Probability: 4.7130549429841295e-05, Refund 108.504, Cost 0.0051138531353355
Number: 3833, Probability: 4.715846839697946e-05, Refund 108.501, Cost 0.005116740979540668
Number: 3834, Probability: 4.7186403284715794e-05, Refund 108.498, Cost 0.005119630383585094
Number: 3835, Probability: 4.7214354104152534e-05, Refund 108.495, Cost 0.005122521348530029
Number: 3836, Probability: 4.724232086639191e-05, Refund 108.492, Cost 0.005125413875436591
Number: 3837, Probability: 4.7270303571433914e-05, Refund 108.489, Cost 0.005128307964161294
Number: 3838, Probability: 4.72983022359319e-05, Refund 108.486, Cost 0.005131203616367308
Number: 3839, Probability: 4.7326316870988094e-05, Refund 108.483, Cost 0.005134100833115401
Number: 3840, Probability: 4.7354347471051383e-05, Refund 108.48, Cost 0.005136999613659654
Number: 3841, Probability: 4.738239406387734e-05, Refund 108.477, Cost 0.0051398999608672225
Number: 3842, Probability: 4.7410456643914856e-05, Refund 108.474, Cost 0.00514280187399202
Number: 3843, Probability: 4.7438535222266154e-05, Refund 108.471, Cost 0.005145705354094432
Number: 3844, Probability: 4.746662981003347e-05, Refund 108.468, Cost 0.0051486104022347105
Number: 3845, Probability: 4.7494740418319026e-05, Refund 108.465, Cost 0.005151517019472973
Number: 3846, Probability: 4.7522867052673945e-05, Refund 108.462, Cost 0.005154425206267121
Number: 3847, Probability: 4.7551009724200455e-05, Refund 108.459, Cost 0.005157334963677057
Number: 3848, Probability: 4.757916843844967e-05, Refund 108.456, Cost 0.0051602462921604975
Number: 3849, Probability: 4.760734320652382e-05, Refund 108.453, Cost 0.005163159192777128
Number: 3850, Probability: 4.7635534033974025e-05, Refund 108.45, Cost 0.005166073665984483
Number: 3851, Probability: 4.766374093190251e-05, Refund 108.447, Cost 0.005168989712842032
Number: 3852, Probability: 4.7691963911411506e-05, Refund 108.444, Cost 0.00517190733440911
Number: 3853, Probability: 4.772020297805213e-05, Refund 108.441, Cost 0.005174826531142951
Number: 3854, Probability: 4.774845814292661e-05, Refund 108.438, Cost 0.005177747304102676
Number: 3855, Probability: 4.7776729417137176e-05, Refund 108.435, Cost 0.00518066965434727
Number: 3856, Probability: 4.780501680068383e-05, Refund 108.432, Cost 0.005183593581731749
Number: 3857, Probability: 4.78333203046688e-05, Refund 108.429, Cost 0.005186519087314934
Number: 3858, Probability: 4.786163994574544e-05, Refund 108.426, Cost 0.005189446172757395
Number: 3859, Probability: 4.788997572946485e-05, Refund 108.423, Cost 0.005192374838515768
Number: 3860, Probability: 4.791832766137816e-05, Refund 108.42, Cost 0.00519530508504662
Number: 3861, Probability: 4.794669574703647e-05, Refund 108.417, Cost 0.005198236912806453
Number: 3862, Probability: 4.797508000309314e-05, Refund 108.414, Cost 0.0052011703234553395
Number: 3863, Probability: 4.800348044065039e-05, Refund 108.411, Cost 0.00520410531805135
Number: 3864, Probability: 4.803189705415711e-05, Refund 108.408, Cost 0.005207041895847064
Number: 3865, Probability: 4.806032987136888e-05, Refund 108.405, Cost 0.005209980059705743
Number: 3866, Probability: 4.808877888118346e-05, Refund 108.402, Cost 0.005212919808278049
Number: 3867, Probability: 4.811724411135643e-05, Refund 108.399, Cost 0.005215861144426926
Number: 3868, Probability: 4.814572555633667e-05, Refund 108.396, Cost 0.00521880406740467
Number: 3869, Probability: 4.8174223232777535e-05, Refund 108.393, Cost 0.005221748578870455
Number: 3870, Probability: 4.8202737146230135e-05, Refund 108.39, Cost 0.005224694679279884
Number: 3871, Probability: 4.82312673077967e-05, Refund 108.387, Cost 0.005227642369690161
Number: 3872, Probability: 4.825981372857946e-05, Refund 108.384, Cost 0.005230591651158356
Number: 3873, Probability: 4.8288376408578415e-05, Refund 108.381, Cost 0.005233542523538137
Number: 3874, Probability: 4.831695536444691e-05, Refund 108.378, Cost 0.005236494988488027
Number: 3875, Probability: 4.834555060728718e-05, Refund 108.375, Cost 0.005239449047064748
Number: 3876, Probability: 4.837416213709922e-05, Refund 108.372, Cost 0.005242404699121716
Number: 3877, Probability: 4.840278996498526e-05, Refund 108.369, Cost 0.005245361945715487
Number: 3878, Probability: 4.843143410759865e-05, Refund 108.366, Cost 0.005248320788504035
Number: 3879, Probability: 4.846009456493938e-05, Refund 108.363, Cost 0.005251281227340527
Number: 3880, Probability: 4.8488771348109694e-05, Refund 108.36, Cost 0.005254243263281166
Number: 3881, Probability: 4.851746446821181e-05, Refund 108.357, Cost 0.005257206897382028
Number: 3882, Probability: 4.854617393634797e-05, Refund 108.354, Cost 0.0052601721306990475
Number: 3883, Probability: 4.857489975806928e-05, Refund 108.351, Cost 0.005263138963686564
Number: 3884, Probability: 4.8603641938926856e-05, Refund 108.348, Cost 0.005266107396798847
Number: 3885, Probability: 4.8632400495574046e-05, Refund 108.345, Cost 0.00526907743169297
Number: 3886, Probability: 4.866117542801085e-05, Refund 108.342, Cost 0.005272049068221552
Number: 3887, Probability: 4.868996675289061e-05, Refund 108.339, Cost 0.005275022308041416
Number: 3888, Probability: 4.871877447576445e-05, Refund 108.336, Cost 0.005277997151606417
Number: 3889, Probability: 4.874759860773459e-05, Refund 108.333, Cost 0.005280973599971711
Number: 3890, Probability: 4.877643915435215e-05, Refund 108.33, Cost 0.005283951653590968
Number: 3891, Probability: 4.8805296126719355e-05, Refund 108.327, Cost 0.005286931313519127
Number: 3892, Probability: 4.883416953038733e-05, Refund 108.324, Cost 0.005289912580209677
Number: 3893, Probability: 4.886305938200941e-05, Refund 108.321, Cost 0.005292895455318641
Number: 3894, Probability: 4.889196568713672e-05, Refund 108.318, Cost 0.0052958799392992745
Number: 3895, Probability: 4.892088844576925e-05, Refund 108.315, Cost 0.005298866032003496
Number: 3896, Probability: 4.894982768011147e-05, Refund 108.312, Cost 0.005301853735688233
Number: 3897, Probability: 4.897878339571449e-05, Refund 108.309, Cost 0.00530484305080644
Number: 3898, Probability: 4.900775559812942e-05, Refund 108.306, Cost 0.0053078339778110046
Number: 3899, Probability: 4.9036744292907386e-05, Refund 108.303, Cost 0.005310826517154748
Number: 3900, Probability: 4.906574949670173e-05, Refund 108.3, Cost 0.005313820670492797
Number: 3901, Probability: 4.9094771220614675e-05, Refund 108.297, Cost 0.005316816438878907
Number: 3902, Probability: 4.912380946464623e-05, Refund 108.294, Cost 0.005319813822164399
Number: 3903, Probability: 4.915286423989862e-05, Refund 108.291, Cost 0.005322812821402861
Number: 3904, Probability: 4.918193556302519e-05, Refund 108.288, Cost 0.005325813438248872
Number: 3905, Probability: 4.921102343402595e-05, Refund 108.285, Cost 0.0053288156725535
Number: 3906, Probability: 4.9240127864003114e-05, Refund 108.282, Cost 0.005331819525369985
Number: 3907, Probability: 4.926924886405892e-05, Refund 108.279, Cost 0.005334824997751436
Number: 3908, Probability: 4.9298386445295606e-05, Refund 108.276, Cost 0.005337832090750827
Number: 3909, Probability: 4.932754060771316e-05, Refund 108.273, Cost 0.005340840804218927
Number: 3910, Probability: 4.935671137351605e-05, Refund 108.27, Cost 0.005343851140410583
Number: 3911, Probability: 4.938589874270427e-05, Refund 108.267, Cost 0.005346863099176363
Number: 3912, Probability: 4.9415102726380056e-05, Refund 108.264, Cost 0.00534987668156881
Number: 3913, Probability: 4.944432333009452e-05, Refund 108.261, Cost 0.005352891888039363
Number: 3914, Probability: 4.947356057050101e-05, Refund 108.258, Cost 0.0053559087202412975
Number: 3915, Probability: 4.9502814453150634e-05, Refund 108.255, Cost 0.005358927178625822
Number: 3916, Probability: 4.9532084983594515e-05, Refund 108.252, Cost 0.005361947263644073
Number: 3917, Probability: 4.9561372178485996e-05, Refund 108.249, Cost 0.00536496897694893
Number: 3918, Probability: 4.9590676037825077e-05, Refund 108.246, Cost 0.005367992318390413
Number: 3919, Probability: 4.96199965782651e-05, Refund 108.243, Cost 0.00537101728962115
Number: 3920, Probability: 4.964933380535719e-05, Refund 108.24, Cost 0.005374043891091862
Number: 3921, Probability: 4.9678687730203563e-05, Refund 108.237, Cost 0.005377072123854043
Number: 3922, Probability: 4.9708058358355345e-05, Refund 108.234, Cost 0.005380101988358232
Number: 3923, Probability: 4.973744570091476e-05, Refund 108.231, Cost 0.005383133485655705
Number: 3924, Probability: 4.9766849768984045e-05, Refund 108.228, Cost 0.005386166616797605
Number: 3925, Probability: 4.979627056811431e-05, Refund 108.225, Cost 0.005389201382234171
Number: 3926, Probability: 4.9825708109407785e-05, Refund 108.222, Cost 0.005392237783016329
Number: 3927, Probability: 4.985516239841559e-05, Refund 108.219, Cost 0.005395275819594136
Number: 3928, Probability: 4.988463345179106e-05, Refund 108.216, Cost 0.005398315493619021
Number: 3929, Probability: 4.991412127508532e-05, Refund 108.213, Cost 0.005401356805540807
Number: 3930, Probability: 4.9943625873849484e-05, Refund 108.21, Cost 0.005404399755809253
Number: 3931, Probability: 4.9973147264736895e-05, Refund 108.207, Cost 0.0054074443460753845
Number: 3932, Probability: 5.000268544774755e-05, Refund 108.204, Cost 0.005410490576188076
Number: 3933, Probability: 5.00322404395348e-05, Refund 108.201, Cost 0.005413538447798105
Number: 3934, Probability: 5.006181224564976e-05, Refund 108.198, Cost 0.005416587961354812
Number: 3935, Probability: 5.009140087719466e-05, Refund 108.195, Cost 0.005419639117908076
Number: 3936, Probability: 5.012100633972061e-05, Refund 108.192, Cost 0.005422691917907052
Number: 3937, Probability: 5.015062864432984e-05, Refund 108.189, Cost 0.005425746362401401
Number: 3938, Probability: 5.018026780212459e-05, Refund 108.186, Cost 0.005428802452440651
Number: 3939, Probability: 5.020992382420708e-05, Refund 108.183, Cost 0.005431860189074195
Number: 3940, Probability: 5.023959671057732e-05, Refund 108.18, Cost 0.005434919572150254
Number: 3941, Probability: 5.026928648343976e-05, Refund 108.177, Cost 0.005437980603919063
Number: 3942, Probability: 5.0298993137243286e-05, Refund 108.174, Cost 0.005441043283628155
Number: 3943, Probability: 5.0328716694192366e-05, Refund 108.171, Cost 0.005444107613527482
Number: 3944, Probability: 5.0358457154286995e-05, Refund 108.168, Cost 0.005447173593464916
Number: 3945, Probability: 5.038821453418052e-05, Refund 108.165, Cost 0.005450241225089636
Number: 3946, Probability: 5.041798883387294e-05, Refund 108.162, Cost 0.005453310508249366
Number: 3947, Probability: 5.0447780075568716e-05, Refund 108.159, Cost 0.005456381445193437
Number: 3948, Probability: 5.047758825371673e-05, Refund 108.156, Cost 0.005459454035168987
Number: 3949, Probability: 5.050741339052145e-05, Refund 108.153, Cost 0.005462528280425066
Number: 3950, Probability: 5.053725548598287e-05, Refund 108.15, Cost 0.005465604180809047
Number: 3951, Probability: 5.0567114556754333e-05, Refund 108.147, Cost 0.005468681737969311
Number: 3952, Probability: 5.059699060838696e-05, Refund 108.144, Cost 0.0054717609523534
Number: 3953, Probability: 5.0626883646431864e-05, Refund 108.141, Cost 0.005474841824408789
Number: 3954, Probability: 5.0656793681991275e-05, Refund 108.138, Cost 0.005477924355183173
Number: 3955, Probability: 5.068672073171854e-05, Refund 108.135, Cost 0.005481008546324384
Number: 3956, Probability: 5.071666479561365e-05, Refund 108.132, Cost 0.005484094397679296
Number: 3957, Probability: 5.0746625890329966e-05, Refund 108.129, Cost 0.005487181910895489
Number: 3958, Probability: 5.077660402141859e-05, Refund 108.126, Cost 0.0054902710864199065
Number: 3959, Probability: 5.0806599194430646e-05, Refund 108.123, Cost 0.005493361924699425
Number: 3960, Probability: 5.083661142046836e-05, Refund 108.12, Cost 0.005496454426781039
Number: 3961, Probability: 5.0866640716185074e-05, Refund 108.117, Cost 0.005499548594311782
Number: 3962, Probability: 5.0896687081580794e-05, Refund 108.114, Cost 0.0055026444271380264
Number: 3963, Probability: 5.092675053330886e-05, Refund 108.111, Cost 0.005505741926906555
Number: 3964, Probability: 5.0956831076920395e-05, Refund 108.108, Cost 0.00550884109406371
Number: 3965, Probability: 5.098692872351762e-05, Refund 108.105, Cost 0.0055119419296558725
Number: 3966, Probability: 5.101704347310054e-05, Refund 108.102, Cost 0.005515044433529115
Number: 3967, Probability: 5.104717534787362e-05, Refund 108.099, Cost 0.00551814860792979
Number: 3968, Probability: 5.1077324353387965e-05, Refund 108.096, Cost 0.005521254453303826
Number: 3969, Probability: 5.1107490495194696e-05, Refund 108.093, Cost 0.00552436197009708
Number: 3970, Probability: 5.113767378994716e-05, Refund 108.09, Cost 0.005527471159955388
Number: 3971, Probability: 5.116787423764535e-05, Refund 108.087, Cost 0.005530582022724373
Number: 3972, Probability: 5.119809185494262e-05, Refund 108.084, Cost 0.005533694560049618
Number: 3973, Probability: 5.122832664183896e-05, Refund 108.081, Cost 0.005536808771776597
Number: 3974, Probability: 5.125857862053884e-05, Refund 108.078, Cost 0.005539924660150597
Number: 3975, Probability: 5.128884779104226e-05, Refund 108.075, Cost 0.005543042225016892
Number: 3976, Probability: 5.1319134170002556e-05, Refund 108.072, Cost 0.005546161468020516
Number: 3977, Probability: 5.1349437757419736e-05, Refund 108.069, Cost 0.005549282389006593
Number: 3978, Probability: 5.137975856994714e-05, Refund 108.066, Cost 0.005552404989619908
Number: 3979, Probability: 5.141009661313589e-05, Refund 108.063, Cost 0.005555529270305304
Number: 3980, Probability: 5.144045190363933e-05, Refund 108.06, Cost 0.005558655232707266
Number: 3981, Probability: 5.147082444145745e-05, Refund 108.057, Cost 0.005561782876670568
Number: 3982, Probability: 5.1501214237692494e-05, Refund 108.054, Cost 0.005564912203239625
Number: 3983, Probability: 5.1531621303446684e-05, Refund 108.051, Cost 0.005568043213458718
Number: 3984, Probability: 5.156204565537337e-05, Refund 108.048, Cost 0.005571175908971782
Number: 3985, Probability: 5.159248728792143e-05, Refund 108.045, Cost 0.005574310289023471
Number: 3986, Probability: 5.162294622329533e-05, Refund 108.042, Cost 0.005577446355857274
Number: 3987, Probability: 5.1653422467046184e-05, Refund 108.039, Cost 0.0055805841099172025
Number: 3988, Probability: 5.168391602472511e-05, Refund 108.036, Cost 0.0055837235516472015
Number: 3989, Probability: 5.171442690743433e-05, Refund 108.033, Cost 0.005586864682090853
Number: 3990, Probability: 5.17449551318272e-05, Refund 108.03, Cost 0.005590007502891292
Number: 3991, Probability: 5.177550069790371e-05, Refund 108.027, Cost 0.005593152013892444
Number: 3992, Probability: 5.1806063616766096e-05, Refund 108.024, Cost 0.005596298216137541
