Probabilities:
Mile Number: 1, Probability: 3.6366178509716907e-05, Refund 119.997, Cost 5.314547209027631e-06
Mile Number: 8854, Probability: 3.6366178509716907e-05, Refund 93.438, Cost 0.0007312609108645473
Mile Number: 8855, Probability: 3.6366178509716907e-05, Refund 93.435, Cost 0.0007316227780104904
Mile Number: 8856, Probability: 3.6366178509716907e-05, Refund 93.432, Cost 0.0007319848139823893
Mile Number: 8857, Probability: 3.6366178509716907e-05, Refund 93.429, Cost 0.0007323470188601387
Mile Number: 8858, Probability: 3.6366178509716907e-05, Refund 93.426, Cost 0.0007327093927132481
Mile Number: 8859, Probability: 3.6366178509716907e-05, Refund 93.423, Cost 0.0007330719356112159
Mile Number: 8860, Probability: 3.6366178509716907e-05, Refund 93.42, Cost 0.0007334346476390863
Mile Number: 8861, Probability: 3.6366178509716907e-05, Refund 93.417, Cost 0.0007337975288611479
Mile Number: 8862, Probability: 3.6366178509716907e-05, Refund 93.414, Cost 0.000734160579357235
Mile Number: 8863, Probability: 3.6366178509716907e-05, Refund 93.411, Cost 0.0007345237991916131
Mile Number: 8864, Probability: 3.6366178509716907e-05, Refund 93.408, Cost 0.0007348871884440928
Mile Number: 8865, Probability: 3.6366178509716907e-05, Refund 93.405, Cost 0.0007352507471892869
Mile Number: 8866, Probability: 3.6366178509716907e-05, Refund 93.402, Cost 0.0007356144755017961
Mile Number: 8867, Probability: 3.6366178509716907e-05, Refund 93.399, Cost 0.0007359783734510247
Mile Number: 8868, Probability: 3.6366178509716907e-05, Refund 93.396, Cost 0.00073634244111155
Mile Number: 8869, Probability: 3.6366178509716907e-05, Refund 93.393, Cost 0.0007367066785579373
Mile Number: 8870, Probability: 3.6366178509716907e-05, Refund 93.39, Cost 0.0007370710858647401
Mile Number: 8871, Probability: 3.6366178509716907e-05, Refund 93.387, Cost 0.0007374356631013154
Mile Number: 8872, Probability: 3.6366178509716907e-05, Refund 93.384, Cost 0.0007378004103473774
Mile Number: 8873, Probability: 3.6366178509716907e-05, Refund 93.381, Cost 0.0007381653276774433
Mile Number: 8874, Probability: 3.6366178509716907e-05, Refund 93.378, Cost 0.0007385304151608348
Mile Number: 8875, Probability: 3.6366178509716907e-05, Refund 93.375, Cost 0.0007388956728720461
Mile Number: 8876, Probability: 3.6366178509716907e-05, Refund 93.372, Cost 0.000739261100885559
Mile Number: 8877, Probability: 3.6366178509716907e-05, Refund 93.369, Cost 0.0007396266992758433
Mile Number: 8878, Probability: 3.6366178509716907e-05, Refund 93.366, Cost 0.0007399924681173572
Mile Number: 8879, Probability: 3.6366178509716907e-05, Refund 93.363, Cost 0.0007403584074845464
Mile Number: 8880, Probability: 3.6366178509716907e-05, Refund 93.36, Cost 0.0007407245174466626
Mile Number: 8881, Probability: 3.6366178509716907e-05, Refund 93.357, Cost 0.0007410907980833104
Mile Number: 8882, Probability: 3.6366178509716907e-05, Refund 93.354, Cost 0.0007414572494688998
Mile Number: 8883, Probability: 3.6366178509716907e-05, Refund 93.351, Cost 0.0007418238716778288
Mile Number: 8884, Probability: 3.6366178509716907e-05, Refund 93.348, Cost 0.0007421906647793017
Mile Number: 8885, Probability: 3.6366178509716907e-05, Refund 93.345, Cost 0.0007425576288476929
Mile Number: 8886, Probability: 3.6366178509716907e-05, Refund 93.342, Cost 0.0007429247639625464
Mile Number: 8887, Probability: 3.6366178509716907e-05, Refund 93.339, Cost 0.0007432920701982121
Mile Number: 8888, Probability: 3.6366178509716907e-05, Refund 93.336, Cost 0.000743659547618666
Mile Number: 8889, Probability: 3.6366178509716907e-05, Refund 93.333, Cost 0.000744027196313778
Mile Number: 8890, Probability: 3.6366178509716907e-05, Refund 93.33, Cost 0.0007443950163423191
Mile Number: 8891, Probability: 3.6366178509716907e-05, Refund 93.327, Cost 0.0007447630077941344
Mile Number: 8892, Probability: 3.6366178509716907e-05, Refund 93.324, Cost 0.0007451311707279719
Mile Number: 8893, Probability: 3.6366178509716907e-05, Refund 93.321, Cost 0.0007454995052284715
Mile Number: 8894, Probability: 3.6366178509716907e-05, Refund 93.318, Cost 0.0007458680113698993
Mile Number: 8895, Probability: 3.6366178509716907e-05, Refund 93.315, Cost 0.0007462366892265093
Mile Number: 8896, Probability: 3.6366178509716907e-05, Refund 93.312, Cost 0.0007466055388673638
Mile Number: 8897, Probability: 3.6366178509716907e-05, Refund 93.309, Cost 0.0007469745603666933
Mile Number: 8898, Probability: 3.6366178509716907e-05, Refund 93.306, Cost 0.0007473437538090757
Mile Number: 8899, Probability: 3.6366178509716907e-05, Refund 93.303, Cost 0.0007477131192583579
Mile Number: 8900, Probability: 3.6366178509716907e-05, Refund 93.3, Cost 0.0007480826567990928
Mile Number: 8901, Probability: 3.6366178509716907e-05, Refund 93.297, Cost 0.000748452366495104
Mile Number: 8902, Probability: 3.6366178509716907e-05, Refund 93.294, Cost 0.0007488222484257411
Mile Number: 8903, Probability: 3.6366178509716907e-05, Refund 93.291, Cost 0.000749192302670341
Mile Number: 8904, Probability: 3.6366178509716907e-05, Refund 93.288, Cost 0.0007495625292978709
Mile Number: 8905, Probability: 3.6366178509716907e-05, Refund 93.285, Cost 0.0007499329283876433
Mile Number: 8906, Probability: 3.6366178509716907e-05, Refund 93.282, Cost 0.0007503035000086016
Mile Number: 8907, Probability: 3.6366178509716907e-05, Refund 93.279, Cost 0.0007506742442452122
Mile Number: 8908, Probability: 3.6366178509716907e-05, Refund 93.276, Cost 0.0007510451611612165
Mile Number: 8909, Probability: 3.6366178509716907e-05, Refund 93.273, Cost 0.0007514162508358786
Mile Number: 8910, Probability: 3.6366178509716907e-05, Refund 93.27, Cost 0.0007517875133432722
Mile Number: 8911, Probability: 3.6366178509716907e-05, Refund 93.267, Cost 0.0007521589487626363
Mile Number: 8912, Probability: 3.6366178509716907e-05, Refund 93.264, Cost 0.000752530557162843
Mile Number: 8913, Probability: 3.6366178509716907e-05, Refund 93.261, Cost 0.0007529023386282843
Mile Number: 8914, Probability: 3.6366178509716907e-05, Refund 93.258, Cost 0.0007532742932226311
Mile Number: 8915, Probability: 3.6366178509716907e-05, Refund 93.255, Cost 0.0007536464210302507
Mile Number: 8916, Probability: 3.6366178509716907e-05, Refund 93.252, Cost 0.0007540187221147907
Mile Number: 8917, Probability: 3.6366178509716907e-05, Refund 93.249, Cost 0.00075439119656577
Mile Number: 8918, Probability: 3.6366178509716907e-05, Refund 93.246, Cost 0.0007547638444519889
Mile Number: 8919, Probability: 3.6366178509716907e-05, Refund 93.243, Cost 0.0007551366658422362
Mile Number: 8920, Probability: 3.6366178509716907e-05, Refund 93.24, Cost 0.0007555096608208167
Mile Number: 8921, Probability: 3.6366178509716907e-05, Refund 93.237, Cost 0.0007558828294616709
Mile Number: 8922, Probability: 3.6366178509716907e-05, Refund 93.234, Cost 0.0007562561718335518
Mile Number: 8923, Probability: 3.6366178509716907e-05, Refund 93.231, Cost 0.0007566296880207269
Mile Number: 8924, Probability: 3.6366178509716907e-05, Refund 93.228, Cost 0.0007570033780919248
Mile Number: 8925, Probability: 3.6366178509716907e-05, Refund 93.225, Cost 0.0007573772421262128
Mile Number: 8926, Probability: 3.6366178509716907e-05, Refund 93.222, Cost 0.0007577512801974711
Mile Number: 8927, Probability: 3.6366178509716907e-05, Refund 93.219, Cost 0.0007581254923795675
Mile Number: 8928, Probability: 3.6366178509716907e-05, Refund 93.216, Cost 0.0007584998787515324
Mile Number: 8929, Probability: 3.6366178509716907e-05, Refund 93.213, Cost 0.0007588744393872093
Mile Number: 8930, Probability: 3.6366178509716907e-05, Refund 93.21, Cost 0.0007592491743604296
Mile Number: 8931, Probability: 3.6366178509716907e-05, Refund 93.207, Cost 0.0007596240837501867
Mile Number: 8932, Probability: 3.6366178509716907e-05, Refund 93.204, Cost 0.0007599991676302877
Mile Number: 8933, Probability: 3.6366178509716907e-05, Refund 93.201, Cost 0.0007603744260745275
Mile Number: 8934, Probability: 3.6366178509716907e-05, Refund 93.198, Cost 0.0007607498591618627
Mile Number: 8935, Probability: 3.6366178509716907e-05, Refund 93.195, Cost 0.0007611254669660636
Mile Number: 8936, Probability: 3.6366178509716907e-05, Refund 93.192, Cost 0.000761501249566062
Mile Number: 8937, Probability: 3.6366178509716907e-05, Refund 93.189, Cost 0.0007618772070304309
Mile Number: 8938, Probability: 3.6366178509716907e-05, Refund 93.186, Cost 0.0007622533394380778
Mile Number: 8939, Probability: 3.6366178509716907e-05, Refund 93.183, Cost 0.0007626296468730699
Mile Number: 8940, Probability: 3.6366178509716907e-05, Refund 93.18, Cost 0.0007630061293987712
Mile Number: 8941, Probability: 3.6366178509716907e-05, Refund 93.177, Cost 0.0007633827870940522
Mile Number: 8942, Probability: 3.6366178509716907e-05, Refund 93.174, Cost 0.0007637596200429428
Mile Number: 8943, Probability: 3.6366178509716907e-05, Refund 93.171, Cost 0.0007641366283139436
Mile Number: 8944, Probability: 3.6366178509716907e-05, Refund 93.168, Cost 0.0007645138119807156
Mile Number: 8945, Probability: 3.6366178509716907e-05, Refund 93.165, Cost 0.0007648911711272513
Mile Number: 8946, Probability: 3.6366178509716907e-05, Refund 93.162, Cost 0.0007652687058271869
Mile Number: 8947, Probability: 3.6366178509716907e-05, Refund 93.159, Cost 0.0007656464161541464
Mile Number: 8948, Probability: 3.6366178509716907e-05, Refund 93.156, Cost 0.0007660243021817419
Mile Number: 8949, Probability: 3.6366178509716907e-05, Refund 93.153, Cost 0.0007664023639887446
Mile Number: 8950, Probability: 3.6366178509716907e-05, Refund 93.15, Cost 0.000766780601659084
Mile Number: 8951, Probability: 3.6366178509716907e-05, Refund 93.147, Cost 0.0007671590152559931
Mile Number: 8952, Probability: 3.6366178509716907e-05, Refund 93.144, Cost 0.0007675376048633767
Mile Number: 8953, Probability: 3.6366178509716907e-05, Refund 93.141, Cost 0.0007679163705496152
Mile Number: 8954, Probability: 3.6366178509716907e-05, Refund 93.138, Cost 0.0007682953124037581
Mile Number: 8955, Probability: 3.6366178509716907e-05, Refund 93.135, Cost 0.0007686744304941615
Mile Number: 8956, Probability: 3.6366178509716907e-05, Refund 93.132, Cost 0.0007690537248943392
Mile Number: 8957, Probability: 3.6366178509716907e-05, Refund 93.129, Cost 0.000769433195688133
Mile Number: 8958, Probability: 3.6366178509716907e-05, Refund 93.126, Cost 0.0007698128429490321
Mile Number: 8959, Probability: 3.6366178509716907e-05, Refund 93.123, Cost 0.0007701926667505137
Mile Number: 8960, Probability: 3.6366178509716907e-05, Refund 93.12, Cost 0.0007705726671712121
Mile Number: 8961, Probability: 3.6366178509716907e-05, Refund 93.117, Cost 0.0007709528442897493
Mile Number: 8962, Probability: 3.6366178509716907e-05, Refund 93.114, Cost 0.0007713331981795654
Mile Number: 8963, Probability: 3.6366178509716907e-05, Refund 93.111, Cost 0.0007717137289140887
Mile Number: 8964, Probability: 3.6366178509716907e-05, Refund 93.108, Cost 0.0007720944365770725
Mile Number: 8965, Probability: 3.6366178509716907e-05, Refund 93.105, Cost 0.0007724753212419203
Mile Number: 8966, Probability: 3.6366178509716907e-05, Refund 93.102, Cost 0.0007728563829871913
Mile Number: 8967, Probability: 3.6366178509716907e-05, Refund 93.099, Cost 0.0007732376218810964
Mile Number: 8968, Probability: 3.6366178509716907e-05, Refund 93.096, Cost 0.0007736190380125066
Mile Number: 8969, Probability: 3.6366178509716907e-05, Refund 93.093, Cost 0.0007740006314496078
Mile Number: 8970, Probability: 3.6366178509716907e-05, Refund 93.09, Cost 0.0007743824022760776
Mile Number: 8971, Probability: 3.6366178509716907e-05, Refund 93.087, Cost 0.0007747643505600779
Mile Number: 8972, Probability: 3.6366178509716907e-05, Refund 93.084, Cost 0.000775146476385261
Mile Number: 8973, Probability: 3.6366178509716907e-05, Refund 93.081, Cost 0.0007755287798249316
Mile Number: 8974, Probability: 3.6366178509716907e-05, Refund 93.078, Cost 0.0007759112609575496
Mile Number: 8975, Probability: 3.6366178509716907e-05, Refund 93.075, Cost 0.0007762939198563953
Mile Number: 8976, Probability: 3.6366178509716907e-05, Refund 93.072, Cost 0.0007766767566050703
Mile Number: 8977, Probability: 3.6366178509716907e-05, Refund 93.069, Cost 0.0007770597712768299
Mile Number: 8978, Probability: 3.6366178509716907e-05, Refund 93.066, Cost 0.0007774429639500836
Mile Number: 8979, Probability: 3.6366178509716907e-05, Refund 93.063, Cost 0.0007778263346980626
Mile Number: 8980, Probability: 3.6366178509716907e-05, Refund 93.06, Cost 0.0007782098835991514
Mile Number: 8981, Probability: 3.6366178509716907e-05, Refund 93.057, Cost 0.0007785936107317222
Mile Number: 8982, Probability: 3.6366178509716907e-05, Refund 93.054, Cost 0.0007789775161793003
Mile Number: 8983, Probability: 3.6366178509716907e-05, Refund 93.051, Cost 0.0007793616000047356
Mile Number: 8984, Probability: 3.6366178509716907e-05, Refund 93.048, Cost 0.0007797458622966938
Mile Number: 8985, Probability: 3.6366178509716907e-05, Refund 93.045, Cost 0.0007801303031283313
Mile Number: 8986, Probability: 3.6366178509716907e-05, Refund 93.042, Cost 0.0007805149225779577
Mile Number: 8987, Probability: 3.6366178509716907e-05, Refund 93.039, Cost 0.0007808997207187047
Mile Number: 8988, Probability: 3.6366178509716907e-05, Refund 93.036, Cost 0.0007812846976340216
Mile Number: 8989, Probability: 3.6366178509716907e-05, Refund 93.033, Cost 0.0007816698533970152
Mile Number: 8990, Probability: 3.6366178509716907e-05, Refund 93.03, Cost 0.000782055188085945
Mile Number: 8991, Probability: 3.6366178509716907e-05, Refund 93.027, Cost 0.0007824407017790574
Mile Number: 8992, Probability: 3.6366178509716907e-05, Refund 93.024, Cost 0.0007828263945545864
Mile Number: 8993, Probability: 3.6366178509716907e-05, Refund 93.021, Cost 0.0007832122664907531
Mile Number: 8994, Probability: 3.6366178509716907e-05, Refund 93.018, Cost 0.0007835983176606028
Mile Number: 8995, Probability: 3.6366178509716907e-05, Refund 93.015, Cost 0.0007839845481423319
Mile Number: 8996, Probability: 3.6366178509716907e-05, Refund 93.012, Cost 0.000784370958014124
Mile Number: 8997, Probability: 3.6366178509716907e-05, Refund 93.009, Cost 0.0007847575473593135
Mile Number: 8998, Probability: 3.6366178509716907e-05, Refund 93.006, Cost 0.0007851443162508955
Mile Number: 8999, Probability: 3.6366178509716907e-05, Refund 93.003, Cost 0.0007855312647618529
Mile Number: 9000, Probability: 3.6366178509716907e-05, Refund 93.0, Cost 0.000785918392975482
Mile Number: 9001, Probability: 3.6366178509716907e-05, Refund 92.997, Cost 0.0007863057009699035
Mile Number: 9002, Probability: 3.6366178509716907e-05, Refund 92.994, Cost 0.000786693188823225
Mile Number: 9003, Probability: 3.6366178509716907e-05, Refund 92.991, Cost 0.0007870808566083798
Mile Number: 9004, Probability: 3.6366178509716907e-05, Refund 92.988, Cost 0.0007874687044086129
Mile Number: 9005, Probability: 3.6366178509716907e-05, Refund 92.985, Cost 0.0007878567322968322
Mile Number: 9006, Probability: 3.6366178509716907e-05, Refund 92.982, Cost 0.0007882449403510956
Mile Number: 9007, Probability: 3.6366178509716907e-05, Refund 92.979, Cost 0.0007886333286546096
Mile Number: 9008, Probability: 3.6366178509716907e-05, Refund 92.976, Cost 0.0007890218972854059
Mile Number: 9009, Probability: 3.6366178509716907e-05, Refund 92.973, Cost 0.0007894106463111819
Mile Number: 9010, Probability: 3.6366178509716907e-05, Refund 92.97, Cost 0.0007897995758202669
Mile Number: 9011, Probability: 3.6366178509716907e-05, Refund 92.967, Cost 0.0007901886858854941
Mile Number: 9012, Probability: 3.6366178509716907e-05, Refund 92.964, Cost 0.0007905779765900058
Mile Number: 9013, Probability: 3.6366178509716907e-05, Refund 92.961, Cost 0.0007909674480066103
Mile Number: 9014, Probability: 3.6366178509716907e-05, Refund 92.958, Cost 0.0007913571002132641
Mile Number: 9015, Probability: 3.6366178509716907e-05, Refund 92.955, Cost 0.0007917469332930709
Mile Number: 9016, Probability: 3.6366178509716907e-05, Refund 92.952, Cost 0.0007921369473188018
Mile Number: 9017, Probability: 3.6366178509716907e-05, Refund 92.949, Cost 0.0007925271423735347
Mile Number: 9018, Probability: 3.6366178509716907e-05, Refund 92.946, Cost 0.0007929175185300156
Mile Number: 9019, Probability: 3.6366178509716907e-05, Refund 92.943, Cost 0.0007933080758712969
Mile Number: 9020, Probability: 3.6366178509716907e-05, Refund 92.94, Cost 0.0007936988144752587
Mile Number: 9021, Probability: 3.6366178509716907e-05, Refund 92.937, Cost 0.0007940897344146095
Mile Number: 9022, Probability: 3.6366178509716907e-05, Refund 92.934, Cost 0.0007944808357723633
Mile Number: 9023, Probability: 3.6366178509716907e-05, Refund 92.931, Cost 0.0007948721186315207
Mile Number: 9024, Probability: 3.6366178509716907e-05, Refund 92.928, Cost 0.0007952635830595937
Mile Number: 9025, Probability: 3.6366178509716907e-05, Refund 92.925, Cost 0.0007956552291447164
Mile Number: 9026, Probability: 3.6366178509716907e-05, Refund 92.922, Cost 0.0007960470569595339
Mile Number: 9027, Probability: 3.6366178509716907e-05, Refund 92.919, Cost 0.0007964390665818378
Mile Number: 9028, Probability: 3.6366178509716907e-05, Refund 92.916, Cost 0.0007968312580945648
Mile Number: 9029, Probability: 3.6366178509716907e-05, Refund 92.913, Cost 0.0007972236315754806
Mile Number: 9030, Probability: 3.6366178509716907e-05, Refund 92.91, Cost 0.0007976161870971804
Mile Number: 9031, Probability: 3.6366178509716907e-05, Refund 92.907, Cost 0.0007980089247477198
Mile Number: 9032, Probability: 3.6366178509716907e-05, Refund 92.904, Cost 0.000798401844599669
Mile Number: 9033, Probability: 3.6366178509716907e-05, Refund 92.901, Cost 0.0007987949467358998
Mile Number: 9034, Probability: 3.6366178509716907e-05, Refund 92.898, Cost 0.0007991882312289571
Mile Number: 9035, Probability: 3.6366178509716907e-05, Refund 92.895, Cost 0.0007995816981616876
Mile Number: 9036, Probability: 3.6366178509716907e-05, Refund 92.892, Cost 0.0007999753476117677
Mile Number: 9037, Probability: 3.6366178509716907e-05, Refund 92.889, Cost 0.0008003691796620175
Mile Number: 9038, Probability: 3.6366178509716907e-05, Refund 92.886, Cost 0.0008007631943849317
Mile Number: 9039, Probability: 3.6366178509716907e-05, Refund 92.883, Cost 0.0008011573918581487
Mile Number: 9040, Probability: 3.6366178509716907e-05, Refund 92.88, Cost 0.0008015517721696063
Mile Number: 9041, Probability: 3.6366178509716907e-05, Refund 92.877, Cost 0.000801946335391761
Mile Number: 9042, Probability: 3.6366178509716907e-05, Refund 92.874, Cost 0.0008023410816022129
Mile Number: 9043, Probability: 3.6366178509716907e-05, Refund 92.871, Cost 0.0008027360108888602
Mile Number: 9044, Probability: 3.6366178509716907e-05, Refund 92.868, Cost 0.0008031311233189662
Mile Number: 9045, Probability: 3.6366178509716907e-05, Refund 92.865, Cost 0.000803526418980403
Mile Number: 9046, Probability: 3.6366178509716907e-05, Refund 92.862, Cost 0.0008039218979455646
Mile Number: 9047, Probability: 3.6366178509716907e-05, Refund 92.859, Cost 0.0008043175602971415
Mile Number: 9048, Probability: 3.6366178509716907e-05, Refund 92.856, Cost 0.0008047134061178118
Mile Number: 9049, Probability: 3.6366178509716907e-05, Refund 92.853, Cost 0.0008051094354799309
Mile Number: 9050, Probability: 3.6366178509716907e-05, Refund 92.85, Cost 0.000805505648466151
Mile Number: 9051, Probability: 3.6366178509716907e-05, Refund 92.847, Cost 0.0008059020451591107
Mile Number: 9052, Probability: 3.6366178509716907e-05, Refund 92.844, Cost 0.0008062986256259739
Mile Number: 9053, Probability: 3.6366178509716907e-05, Refund 92.841, Cost 0.0008066953899596614
Mile Number: 9054, Probability: 3.6366178509716907e-05, Refund 92.838, Cost 0.0008070923382376192
Mile Number: 9055, Probability: 3.6366178509716907e-05, Refund 92.835, Cost 0.0008074894705321267
Mile Number: 9056, Probability: 3.6366178509716907e-05, Refund 92.832, Cost 0.0008078867869257581
Mile Number: 9057, Probability: 3.6366178509716907e-05, Refund 92.829, Cost 0.0008082842874959213
Mile Number: 9058, Probability: 3.6366178509716907e-05, Refund 92.826, Cost 0.0008086819723303171
Mile Number: 9059, Probability: 3.6366178509716907e-05, Refund 92.823, Cost 0.0008090798415011741
Mile Number: 9060, Probability: 3.6366178509716907e-05, Refund 92.82, Cost 0.0008094778950858616
Mile Number: 9061, Probability: 3.6366178509716907e-05, Refund 92.817, Cost 0.0008098761331720411
Mile Number: 9062, Probability: 3.6366178509716907e-05, Refund 92.814, Cost 0.0008102745558319031
Mile Number: 9063, Probability: 3.6366178509716907e-05, Refund 92.811, Cost 0.000810673163147931
Mile Number: 9064, Probability: 3.6366178509716907e-05, Refund 92.808, Cost 0.0008110719551974418
Mile Number: 9065, Probability: 3.6366178509716907e-05, Refund 92.805, Cost 0.0008114709320680442
Mile Number: 9066, Probability: 3.6366178509716907e-05, Refund 92.802, Cost 0.0008118700938318779
Mile Number: 9067, Probability: 3.6366178509716907e-05, Refund 92.799, Cost 0.0008122694405713738
Mile Number: 9068, Probability: 3.6366178509716907e-05, Refund 92.796, Cost 0.0008126689723637975
Mile Number: 9069, Probability: 3.6366178509716907e-05, Refund 92.793, Cost 0.0008130686892915536
Mile Number: 9070, Probability: 3.6366178509716907e-05, Refund 92.79, Cost 0.0008134685914318823
Mile Number: 9071, Probability: 3.6366178509716907e-05, Refund 92.787, Cost 0.0008138686788671621
Mile Number: 9072, Probability: 3.6366178509716907e-05, Refund 92.784, Cost 0.0008142689516746069
Mile Number: 9073, Probability: 3.6366178509716907e-05, Refund 92.781, Cost 0.0008146694099417196
Mile Number: 9074, Probability: 3.6366178509716907e-05, Refund 92.778, Cost 0.000815070053740538
Mile Number: 9075, Probability: 3.6366178509716907e-05, Refund 92.775, Cost 0.0008154708831533881
Mile Number: 9076, Probability: 3.6366178509716907e-05, Refund 92.772, Cost 0.0008158718982574325
Mile Number: 9077, Probability: 3.6366178509716907e-05, Refund 92.769, Cost 0.0008162730991349712
Mile Number: 9078, Probability: 3.6366178509716907e-05, Refund 92.766, Cost 0.0008166744858734402
Mile Number: 9079, Probability: 3.6366178509716907e-05, Refund 92.763, Cost 0.000817076058539664
Mile Number: 9080, Probability: 3.6366178509716907e-05, Refund 92.76, Cost 0.0008174778172210529
Mile Number: 9081, Probability: 3.6366178509716907e-05, Refund 92.757, Cost 0.0008178797619998537
Mile Number: 9082, Probability: 3.6366178509716907e-05, Refund 92.754, Cost 0.0008182818929531513
Mile Number: 9083, Probability: 3.6366178509716907e-05, Refund 92.751, Cost 0.0008186842101580179
Mile Number: 9084, Probability: 3.6366178509716907e-05, Refund 92.748, Cost 0.0008190867137018101
Mile Number: 9085, Probability: 3.6366178509716907e-05, Refund 92.745, Cost 0.0008194894036564254
Mile Number: 9086, Probability: 3.6366178509716907e-05, Refund 92.742, Cost 0.0008198922801143422
Mile Number: 9087, Probability: 3.6366178509716907e-05, Refund 92.739, Cost 0.000820295343142284
Mile Number: 9088, Probability: 3.6366178509716907e-05, Refund 92.736, Cost 0.0008206985928275543
Mile Number: 9089, Probability: 3.6366178509716907e-05, Refund 92.733, Cost 0.0008211020292522952
Mile Number: 9090, Probability: 3.6366178509716907e-05, Refund 92.73, Cost 0.0008215056524934878
Mile Number: 9091, Probability: 3.6366178509716907e-05, Refund 92.727, Cost 0.0008219094626332478
Mile Number: 9092, Probability: 3.6366178509716907e-05, Refund 92.724, Cost 0.0008223134597485305
Mile Number: 9093, Probability: 3.6366178509716907e-05, Refund 92.721, Cost 0.0008227176439265726
Mile Number: 9094, Probability: 3.6366178509716907e-05, Refund 92.718, Cost 0.0008231220152443032
Mile Number: 9095, Probability: 3.6366178509716907e-05, Refund 92.715, Cost 0.0008235265737786385
Mile Number: 9096, Probability: 3.6366178509716907e-05, Refund 92.712, Cost 0.0008239313196167753
Mile Number: 9097, Probability: 3.6366178509716907e-05, Refund 92.709, Cost 0.0008243362528356035
Mile Number: 9098, Probability: 3.6366178509716907e-05, Refund 92.706, Cost 0.0008247413735171467
Mile Number: 9099, Probability: 3.6366178509716907e-05, Refund 92.703, Cost 0.0008251466817434152
Mile Number: 9100, Probability: 3.6366178509716907e-05, Refund 92.7, Cost 0.00082555217759126
Mile Number: 9101, Probability: 3.6366178509716907e-05, Refund 92.697, Cost 0.0008259578611478108
Mile Number: 9102, Probability: 3.6366178509716907e-05, Refund 92.694, Cost 0.000826363732484747
Mile Number: 9103, Probability: 3.6366178509716907e-05, Refund 92.691, Cost 0.0008267697916891716
Mile Number: 9104, Probability: 3.6366178509716907e-05, Refund 92.688, Cost 0.0008271760388430289
Mile Number: 9105, Probability: 3.6366178509716907e-05, Refund 92.685, Cost 0.0008275824740231047
Mile Number: 9106, Probability: 3.6366178509716907e-05, Refund 92.682, Cost 0.0008279890973113169
Mile Number: 9107, Probability: 3.6366178509716907e-05, Refund 92.679, Cost 0.0008283959087947148
Mile Number: 9108, Probability: 3.6366178509716907e-05, Refund 92.676, Cost 0.0008288029085449002
Mile Number: 9109, Probability: 3.6366178509716907e-05, Refund 92.673, Cost 0.0008292100966488961
Mile Number: 9110, Probability: 3.6366178509716907e-05, Refund 92.67, Cost 0.0008296174731834227
Mile Number: 9111, Probability: 3.6366178509716907e-05, Refund 92.667, Cost 0.0008300250382354762
Mile Number: 9112, Probability: 3.6366178509716907e-05, Refund 92.664, Cost 0.0008304327918817505
Mile Number: 9113, Probability: 3.6366178509716907e-05, Refund 92.661, Cost 0.0008308407342092146
Mile Number: 9114, Probability: 3.6366178509716907e-05, Refund 92.658, Cost 0.0008312488652893929
Mile Number: 9115, Probability: 3.6366178509716907e-05, Refund 92.655, Cost 0.0008316571852092278
Mile Number: 9116, Probability: 3.6366178509716907e-05, Refund 92.652, Cost 0.0008320656940556477
Mile Number: 9117, Probability: 3.6366178509716907e-05, Refund 92.649, Cost 0.0008324743918949949
Mile Number: 9118, Probability: 3.6366178509716907e-05, Refund 92.646, Cost 0.0008328832788244576
Mile Number: 9119, Probability: 3.6366178509716907e-05, Refund 92.643, Cost 0.0008332923549154953
Mile Number: 9120, Probability: 3.6366178509716907e-05, Refund 92.64, Cost 0.000833701620254983
Mile Number: 9121, Probability: 3.6366178509716907e-05, Refund 92.637, Cost 0.0008341110749194967
Mile Number: 9122, Probability: 3.6366178509716907e-05, Refund 92.634, Cost 0.0008345207189958847
Mile Number: 9123, Probability: 3.6366178509716907e-05, Refund 92.631, Cost 0.0008349305525606967
Mile Number: 9124, Probability: 3.6366178509716907e-05, Refund 92.628, Cost 0.000835340575695612
Mile Number: 9125, Probability: 3.6366178509716907e-05, Refund 92.625, Cost 0.0008357507884874382
Mile Number: 9126, Probability: 3.6366178509716907e-05, Refund 92.622, Cost 0.0008361611910126857
Mile Number: 9127, Probability: 3.6366178509716907e-05, Refund 92.619, Cost 0.0008365717833581351
Mile Number: 9128, Probability: 3.6366178509716907e-05, Refund 92.616, Cost 0.0008369825656002705
Mile Number: 9129, Probability: 3.6366178509716907e-05, Refund 92.613, Cost 0.0008373935378207045
Mile Number: 9130, Probability: 3.6366178509716907e-05, Refund 92.61, Cost 0.0008378047001010363
Mile Number: 9131, Probability: 3.6366178509716907e-05, Refund 92.607, Cost 0.0008382160525279926
Mile Number: 9132, Probability: 3.6366178509716907e-05, Refund 92.604, Cost 0.0008386275951831455
Mile Number: 9133, Probability: 3.6366178509716907e-05, Refund 92.601, Cost 0.0008390393281429131
Mile Number: 9134, Probability: 3.6366178509716907e-05, Refund 92.598, Cost 0.000839451251493982
Mile Number: 9135, Probability: 3.6366178509716907e-05, Refund 92.595, Cost 0.0008398633653127438
Mile Number: 9136, Probability: 3.6366178509716907e-05, Refund 92.592, Cost 0.000840275669685858
Mile Number: 9137, Probability: 3.6366178509716907e-05, Refund 92.589, Cost 0.00084068816469483
Mile Number: 9138, Probability: 3.6366178509716907e-05, Refund 92.586, Cost 0.0008411008504211518
